Shiloh-Scott||College Station||Belleville Station||Swansea Station||Memorial Hospital Station||Fairview Heights Station||Washington Park Station||JJK Center Station||Emerson Park Station||5th & Missouri||East Riverfront Station||Laclede's Landing/Arch Station||Convention Center Station||8th & Pine Station||Stadium Station||Civic Center Station||Union Station||Grand Station||Central West End Station||Forest Park Station||Delmar Loop Station||Wellston Station||Rock Road Station||South UMSL Station||North UMSL Station||North Hanley Station||Lambert Airport Terminal 2||Lambert Airport Terminal 1|
37||36||35||34||33||32||31||30||29||28||27||26||25||24||23||22||21||20||19||18||8||7||6||5||4||3||2||1|
14:02|0|14:07|0|14:12|0|14:14|0|14:18|0|14:22|0|14:27|0|14:30|0|14:32|0|14:35|0|14:38|0|14:40|0|14:41|0|14:43|0|14:44|0|14:46|0|14:47|0|14:51|0|14:54|0|14:57|0|14:59|0|15:01|0|15:03|0|15:05|0|15:07|0|15:09|0|15:14|0|15:16|0
14:22|0|14:27|0|14:32|0|14:34|0|14:38|0|14:42|0|14:47|0|14:50|0|14:52|0|14:55|0|14:58|0|15:00|0|15:01|0|15:03|0|15:04|0|15:06|0|15:07|0|15:11|0|15:14|0|15:17|0|15:19|0|15:21|0|15:23|0|15:25|0|15:27|0|15:29|0|15:34|0|15:36|0
14:42|0|14:47|0|14:52|0|14:54|0|14:58|0|15:02|0|15:07|0|15:10|0|15:12|0|15:15|0|15:18|0|15:20|0|15:21|0|15:23|0|15:24|0|15:26|0|15:27|0|15:31|0|15:34|0|15:37|0|15:39|0|15:41|0|15:43|0|15:45|0|15:47|0|15:49|0|15:54|0|15:56|0
15:02|0|15:07|0|15:12|0|15:14|0|15:18|0|15:22|0|15:27|0|15:30|0|15:32|0|15:35|0|15:38|0|15:40|0|15:41|0|15:43|0|15:44|0|15:46|0|15:47|0|15:51|0|15:54|0|15:57|0|15:59|0|16:01|0|16:03|0|16:05|0|16:07|0|16:09|0|16:14|0|16:16|0
15:22|0|15:27|0|15:32|0|15:34|0|15:38|0|15:42|0|15:47|0|15:50|0|15:52|0|15:55|0|15:58|0|16:00|0|16:01|0|16:03|0|16:04|0|16:06|0|16:07|0|16:11|0|16:14|0|16:17|0|16:19|0|16:21|0|16:23|0|16:25|0|16:27|0|16:29|0|16:34|0|16:36|0
15:42|0|15:47|0|15:52|0|15:54|0|15:58|0|16:02|0|16:07|0|16:10|0|16:12|0|16:15|0|16:18|0|16:20|0|16:21|0|16:23|0|16:24|0|16:26|0|16:27|0|16:31|0|16:34|0|16:37|0|16:39|0|16:41|0|16:43|0|16:45|0|16:47|0|16:49|0|16:54|0|16:56|0
16:02|0|16:07|0|16:12|0|16:14|0|16:18|0|16:22|0|16:27|0|16:30|0|16:32|0|16:35|0|16:38|0|16:40|0|16:41|0|16:43|0|16:44|0|16:46|0|16:47|0|16:51|0|16:54|0|16:57|0|16:59|0|17:01|0|17:03|0|17:05|0|17:07|0|17:09|0|17:14|0|17:16|0
16:22|0|16:27|0|16:32|0|16:34|0|16:38|0|16:42|0|16:47|0|16:50|0|16:52|0|16:55|0|16:58|0|17:00|0|17:01|0|17:03|0|17:04|0|17:06|0|17:07|0|17:11|0|17:14|0|17:17|0|17:19|0|17:21|0|17:23|0|17:25|0|17:27|0|17:29|0|17:34|0|17:36|0
16:42|0|16:47|0|16:52|0|16:54|0|16:58|0|17:02|0|17:07|0|17:10|0|17:12|0|17:15|0|17:18|0|17:20|0|17:21|0|17:23|0|17:24|0|17:26|0|17:27|0|17:31|0|17:34|0|17:37|0|17:39|0|17:41|0|17:43|0|17:45|0|17:47|0|17:49|0|17:54|0|17:56|0
17:02|0|17:07|0|17:12|0|17:14|0|17:18|0|17:22|0|17:27|0|17:30|0|17:32|0|17:35|0|17:38|0|17:40|0|17:41|0|17:43|0|17:44|0|17:46|0|17:47|0|17:51|0|17:54|0|17:57|0|17:59|0|18:01|0|18:03|0|18:05|0|18:07|0|18:09|0|18:14|0|18:16|0
